,title,price,link
0,"Konex Lightweight Aluminium Composite Badminton Racquet with Free 3/4 Cover | for Beginner and Intermediate Players (Pack of 1, Red)  ",319.,"https://amazon,in//sspa/click?ie=UTF8&spc=MToyNzcxNzM3MTkwMjM2OTA0OjE3MjUxMDI3NjI6c3BfYXRmX25leHQ6MzAwMjgxNjUzNzQxMjMyOjowOjo&url=%2FLightWeight-Aluminium-Composite-Badminton-Intermediate%2Fdp%2FB0CSSPDG9C%2Fref%3Dsr_1_49_sspa%3Fcrid%3D1GPSDEWYB7GHK%26dib%3DeyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0%26dib_tag%3Dse%26keywords%3Dbadminton%2Brackets%26qid%3D1725102762%26sprefix%3Dbadmin%252Caps%252C240%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1"
1,"Woke XLS900 Badminton Racket Set Oval Aluminum Head Shape, high Tempered Steel Shape with Free 3 Birdie Feather Shuttlecocks,with String Tension, Suitable for All Ages Youth and Adults (RED)  ",499,"https://amazon,in//sspa/click?ie=UTF8&spc=MToyNzcxNzM3MTkwMjM2OTA0OjE3MjUxMDI3NjI6c3BfYXRmX25leHQ6MzAwMDU3MTQxOTQ5NDMyOjowOjo&url=%2FXLS900-Badminton-Aluminum-Tempered-Shuttlecocks%2Fdp%2FB0CHRNV9QH%2Fref%3Dsr_1_50_sspa%3Fcrid%3D1GPSDEWYB7GHK%26dib%3DeyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0%26dib_tag%3Dse%26keywords%3Dbadminton%2Brackets%26qid%3D1725102762%26sprefix%3Dbadmin%252Caps%252C240%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1"
2,YONEX Nanoray 7000I G4-2U Aluminum Badminton Racquet with Full Cover (Blue) Pack of 1  ,"1,499","https://amazon,in//Yonex-Nanoray-7000I-Badminton-Racquet/dp/B00RCNQOW6/ref=sr_1_59?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-59"
3,Yonex Badminton Racquet Arcsaber 73Light Aqua Blue G4 5U  ,"2,170","https://amazon,in//Yonex-Badminton-Racquet-Arcsaber-73Light/dp/B0CG6JVZZJ/ref=sr_1_60?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-60"
4,Li-Ning XP 2020 Special Edition Blend Strung Badminton Racquet with Free Head Cover  ,470,"https://amazon,in//Li-Ning-XP-2020-Special-AYPQ156-5/dp/B08BCSGLJ3/ref=sr_1_61?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-61"
5,HUNDRED Rock 78 Super Strong 36 LBS Max Tension Badminton Racket with Full Racket Cover  ,"1,499","https://amazon,in//HUNDRED-Strung-Strong-Tension-Badminton/dp/B0CPGN7SYH/ref=sr_1_62?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-62"
6,Li-Ning Super Series 900 Strung Badminton Racket with Free Full Cover  ,"1,499","https://amazon,in//Li-Ning-Super-Carbon-Strung-Racket/dp/B097Y7Z91K/ref=sr_1_63?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-63"
7,"Yonex ASTROX 77 Pro Badminton Racquet (Unstrung) (4UG5),Orange,Carbon Graphite  ","11,990","https://amazon,in//ASTROX-Badminton-Racquet-Unstrung-Graphite/dp/B0BGT7KQR5/ref=sr_1_64?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-64"
8,"YONEX Graphite Badminton Racquet Astrox 1DG (Blue, Black)  ","3,890","https://amazon,in//YONEX-Graphite-Badminton-Racquet-Astrox/dp/B08X4LMLS1/ref=sr_1_65?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-65"
9,"Apacs Z-Ziggler Reborn (Unstrung, 42 LBS High Tension) Max Energy & Power | Slim Shaft | Made in Vietnam | 100% Japanese Graphite Badminton Racket with Free Full Cover (Black)  ","3,299","https://amazon,in//Apacs-Z-Ziggler-Unstrung-Japanese-Badminton/dp/B0CSSVTX1V/ref=sr_1_66?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-66"
